farm;lat;lon;fw;Nf;Ns
1;38.698000;-9.3700000;40797.3;46101.0;32977.0
2;36.788000;-6.3900000;34714.5;39227.4;18850.8
3;38.698000;-9.4800000;32792.5;37055.5;28452.4
4;38.698000;-9.2600000;31036.9;35071.7;25565.0
5;40.688000;0.86000000;30495.4;34459.8;25960.6
6;38.708000;-9.1500000;28508.6;32214.7;22218.5
7;38.838000;-9.4800000;27743.8;31350.5;19662.0
8;41.168000;-8.7300000;27689.1;31288.7;24863.8
9;41.338000;-8.7600000;27195.7;30731.1;24140.9
10;40.168000;-8.8700000;27082.4;30603.1;22012.2
11;41.058000;-8.6900000;26105.2;29498.9;23062.8
12;40.638000;0.72000000;26034.5;29419.0;21770.8
13;41.478000;-8.8000000;25646.2;28980.2;22834.7
14;39.048000;-9.4600000;25492.1;28806.0;21213.1
15;39.178000;-9.3800000;25298.2;28586.9;16959.7
16;41.588000;-8.8200000;25108.6;28372.7;21529.3
17;41.738000;-8.9100000;24909.6;28147.9;22149.9
18;38.588000;-9.2400000;24793.6;28016.8;17376.6
19;41.918000;-8.9000000;24764.5;27983.9;22036.6
20;42.418000;-8.8900000;24568.1;27761.9;21477.4
21;40.728000;26.040000;24131.5;27268.6;17454.0
22;42.048000;-8.8900000;24109.1;27243.3;21010.9
23;42.178000;-8.9000000;23874.4;26978.0;21155.9
24;40.318000;-8.8800000;23827.6;26925.2;19494.9
25;39.328000;-9.3900000;23115.3;26120.3;19651.9
26;40.618000;0.61000000;22677.3;25625.4;18598.7
27;42.288000;-8.8700000;22310.4;25210.7;19468.8
28;40.428000;-8.8600000;22257.4;25150.8;19140.1
29;40.948000;-8.7100000;21952.6;24806.4;18917.9
30;42.468000;-9.0000000;21926.5;24777.0;19714.0
31;40.578000;-8.7800000;21644.6;24458.4;16986.5
32;39.478000;-9.2200000;21241.4;24002.8;15209.4
33;40.708000;-8.7700000;21176.2;23929.1;17514.4
34;40.838000;-8.7300000;20864.2;23576.5;17323.3
35;40.058000;-8.9400000;20275.3;22911.1;16868.4
36;42.548000;-9.1100000;20260.3;22894.2;18114.3
37;43.398000;4.7900000;20156.8;22777.2;13847.7
38;41.698000;-8.7800000;20096.5;22709.1;16407.6
39;36.898000;-6.4500000;19939.5;22531.6;17289.5
40;39.408000;-9.5000000;19694.3;22254.5;17611.8
41;47.118000;-2.2300000;19630.0;22181.9;17368.3
42;47.248000;-2.4500000;19504.7;22040.3;17317.2
43;40.818000;0.74000000;19456.1;21985.4;16604.7
44;36.788000;-6.5000000;19260.6;21764.4;17330.4
45;47.058000;-2.3400000;19251.4;21754.1;17126.8
46;43.458000;4.5300000;19227.4;21727.0;16464.3
47;43.198000;-9.1800000;19089.0;21570.5;14809.8
48;42.658000;-9.1200000;18826.2;21273.6;16575.9
49;47.238000;-2.3400000;18679.8;21108.2;16746.8
50;42.398000;-8.7800000;18670.1;21097.2;8895.37
51;42.898000;-9.2000000;18584.3;21000.2;16258.6
52;42.888000;-9.3100000;18500.6;20905.7;16681.2
53;43.068000;-9.3000000;18472.6;20874.1;15962.5
54;45.648000;-1.1000000;18161.9;20522.9;16621.2
55;43.298000;-8.9800000;18140.1;20498.3;14328.9
56;47.368000;-2.5600000;18120.2;20475.8;16015.2
57;39.948000;-8.9900000;17948.9;20282.2;15303.1
58;42.788000;-9.1800000;17867.9;20190.7;15777.3
59;39.568000;-9.1100000;17858.7;20180.4;14022.3
60;47.048000;-2.1200000;17823.0;20139.9;16070.1
61;47.258000;-2.5600000;17732.9;20038.2;15795.9
62;43.728000;-8.0200000;17678.9;19977.1;13777.9
63;40.478000;22.720000;17441.0;19708.4;10668.6
64;43.358000;-8.8500000;17329.3;19582.1;13607.5
65;39.758000;-9.0700000;17316.7;19567.9;15150.6
66;43.338000;-8.6000000;17163.1;19394.3;13785.7
67;42.528000;-8.8900000;17104.6;19328.2;12613.1
68;43.398000;-8.4400000;16844.5;19034.3;12142.5
69;43.638000;-8.1800000;16826.3;19013.7;13328.2
70;36.588000;-6.2900000;16810.5;18995.8;3715.15
71;41.918000;-8.7900000;16703.5;18875.0;14069.3
72;47.228000;-2.2300000;16667.8;18834.6;14575.0
73;45.168000;-1.1900000;16449.7;18588.1;13825.4
74;43.528000;-8.3200000;16386.0;18516.1;12291.9
75;47.508000;-2.7300000;16305.6;18425.3;14404.1
76;47.138000;-2.5000000;16265.5;18380.0;14612.9
77;43.788000;-7.9000000;16115.2;18210.2;12837.4
78;45.588000;-0.99000000;16103.2;18196.6;14685.0
79;36.678000;-6.4300000;16056.9;18144.3;7167.30
80;43.758000;-7.7700000;15933.2;18004.5;8299.60
81;43.348000;4.6800000;15869.6;17932.7;13444.8
82;45.128000;-0.70000000;15833.7;17892.0;12892.5
83;47.478000;-2.5400000;15793.8;17847.0;13881.5
84;45.658000;-1.2100000;15710.1;17752.4;14516.6
85;45.538000;-1.1100000;15702.7;17744.1;14502.3
86;43.648000;-1.4500000;15665.9;17702.5;12859.7
87;41.148000;30.620000;15597.7;17625.4;12916.1
88;47.308000;-2.0800000;15528.8;17547.6;12853.8
89;48.488000;-5.1000000;15527.6;17546.2;12881.3
90;43.418000;4.9000000;15490.3;17504.0;12866.1
91;45.378000;-0.82000000;15455.6;17464.8;13864.5
92;42.258000;-8.7300000;15255.2;17238.4;5284.87
93;44.958000;-1.2300000;15246.4;17228.4;12680.3
94;47.148000;-2.6100000;14903.2;16840.6;13339.4
95;44.768000;12.430000;14857.6;16789.1;13074.6
96;50.058000;-5.7200000;14830.5;16758.5;11086.7
97;43.528000;-3.5600000;14791.2;16714.1;9848.36
98;45.268000;-0.75000000;14638.3;16541.3;12851.6
99;39.358000;-9.6500000;14615.4;16515.4;12295.4
100;49.978000;-6.2600000;14601.1;16499.2;10971.2
101;41.738000;12.250000;14577.0;16472.0;11790.6
102;43.308000;-8.7400000;14536.1;16425.7;11466.3
103;45.488000;-0.88000000;14485.7;16368.8;13300.4
104;44.988000;12.540000;14404.7;16277.3;12248.0
105;45.158000;12.340000;14397.5;16269.2;12081.6
106;43.418000;-4.6600000;14396.3;16267.8;7854.60
107;47.548000;-3.0900000;14197.0;16042.6;13005.3
108;47.498000;-2.8400000;14194.3;16039.6;13015.4
109;47.398000;-2.6700000;14133.7;15971.1;12905.1
110;54.398000;18.750000;14064.9;15893.3;3751.93
111;49.898000;-6.4000000;13958.0;15772.6;8679.48
112;48.558000;-4.7700000;13908.4;15716.5;11354.6
113;44.768000;12.320000;13875.5;15679.3;12026.6
114;44.838000;12.540000;13841.3;15640.7;11904.3
115;48.638000;-4.5500000;13746.1;15533.0;10912.7
116;43.408000;-4.5500000;13727.3;15511.8;8392.76
117;43.808000;-1.4200000;13545.7;15306.7;10934.4
118;38.428000;-9.2300000;13497.7;15252.4;11286.5
119;50.168000;-5.6900000;13496.4;15250.9;8631.26
120;47.268000;-2.6700000;13455.9;15205.2;12113.5
121;48.588000;-4.6600000;13445.3;15193.2;10565.5
122;41.858000;19.360000;13405.6;15148.3;10628.5
